1,Name1               ,1,18,IS      
2,Name2               ,0,19,MA      
3,Name3               ,1,20,CS      
4,Name4               ,0,17,IS      
5,Name5               ,1,18,MA      
6,Name6               ,0,19,CS      
7,Name7               ,1,20,IS      
8,Name8               ,0,17,MA      
9,Name9               ,1,18,CS      
10,Name10              ,0,19,IS      
11,Name11              ,1,20,MA      
12,Name12              ,0,17,CS      
13,Name13              ,1,18,IS      
14,Name14              ,0,19,MA      
15,Name15              ,1,20,CS      
16,Name16              ,0,17,IS      
17,Name17              ,1,18,MA      
18,Name18              ,0,19,CS      
19,Name19              ,1,20,IS      
20,Name20              ,0,17,MA      
21,Name21              ,1,18,CS      
22,Name22              ,0,19,IS      
23,Name23              ,1,20,MA      
24,Name24              ,0,17,CS      
25,Name25              ,1,18,IS      
26,Name26              ,0,19,MA      
27,Name27              ,1,20,CS      
28,Name28              ,0,17,IS      
29,Name29              ,1,18,MA      
30,Name30              ,0,19,CS      
31,Name31              ,1,20,IS      
32,Name32              ,0,17,MA      
33,Name33              ,1,18,CS      
34,Name34              ,0,19,IS      
35,Name35              ,1,20,MA      
36,Name36              ,0,17,CS      
37,Name37              ,1,18,IS      
38,Name38              ,0,19,MA      
39,Name39              ,1,20,CS      
40,Name40              ,0,17,IS      
41,Name41              ,1,18,MA      
42,Name42              ,0,19,CS      
43,Name43              ,1,20,IS      
44,Name44              ,0,17,MA      
45,Name45              ,1,18,CS      
46,Name46              ,0,19,IS      
47,Name47              ,1,20,MA      
48,Name48              ,0,17,CS      
49,Name49              ,1,18,IS      
50,Name50              ,0,19,MA      
51,Name51              ,1,20,CS      
52,Name52              ,0,17,IS      
53,Name53              ,1,18,MA      
54,Name54              ,0,19,CS      
55,Name55              ,1,20,IS      
56,Name56              ,0,17,MA      
57,Name57              ,1,18,CS      
58,Name58              ,0,19,IS      
59,Name59              ,1,20,MA      
60,Name60              ,0,17,CS      
61,Name61              ,1,18,IS      
62,Name62              ,0,19,MA      
63,Name63              ,1,20,CS      
64,Name64              ,0,17,IS      
65,Name65              ,1,18,MA      
66,Name66              ,0,19,CS      
67,Name67              ,1,20,IS      
68,Name68              ,0,17,MA      
69,Name69              ,1,18,CS      
70,Name70              ,0,19,IS      
71,Name71              ,1,20,MA      
72,Name72              ,0,17,CS      
73,Name73              ,1,18,IS      
74,Name74              ,0,19,MA      
75,Name75              ,1,20,CS      
76,Name76              ,0,17,IS      
77,Name77              ,1,18,MA      
78,Name78              ,0,19,CS      
79,Name79              ,1,20,IS      
80,Name80              ,0,17,MA      
81,Name81              ,1,18,CS      
82,Name82              ,0,19,IS      
